uid,AcademicInterest,ExtracurricularActivities,Skills,Major,GPA,Languages,ClubMemberships,ResearchInterests
28,History,Volunteer Group,"Programming, Data Analysis",Biology,3.27,Spanish,Sports Team,Machine Learning
29,Biology,Art Club,"Data Analysis, Leadership",Psychology,2.91,Chinese,Music Club,Data Science
30,Physics,Music Club,"Data Analysis, Public Speaking",History,2.96,"Chinese, Japanese, French, English, Spanish","Debate Club, Art Club, Music Club, Coding Club, Volunteer Group",Artificial Intelligence
31,Mathematics,Debate Club,"Artistic, Programming, Public Speaking, Problem Solving, Data Analysis",Biology,2.26,"English, Chinese, Spanish","Art Club, Sports Team, Volunteer Group, Coding Club, Music Club, Debate Club",Renewable Energy
32,Mathematics,Volunteer Group,"Problem Solving, Programming, Leadership, Data Analysis, Public Speaking, Artistic",Computer Science,3.01,"Chinese, French, Spanish","Debate Club, Coding Club, Art Club, Music Club",Data Science
33,Biology,Debate Club,"Public Speaking, Programming",Computer Science,2.83,"German, Japanese, Chinese, French","Coding Club, Sports Team, Art Club, Music Club",Nanotechnology
34,Psychology,Volunteer Group,"Data Analysis, Programming, Public Speaking",History,2.19,"English, German","Debate Club, Volunteer Group, Sports Team, Coding Club, Art Club, Music Club",Human-Computer Interaction
35,Biology,Art Club,Data Analysis,Physics,3.1,"German, English, Spanish, French, Chinese, Japanese",Volunteer Group,Behavioral Economics
36,Mathematics,Music Club,"Leadership, Programming, Problem Solving",Psychology,3.12,"Spanish, German, Japanese, English, French","Art Club, Debate Club",Quantum Computing
37,History,Sports Team,"Data Analysis, Public Speaking, Programming, Artistic, Problem Solving",History,3.46,"German, Chinese, English, French",Art Club,Healthcare Management
38,Physics,Volunteer Group,"Artistic, Public Speaking, Data Analysis, Leadership, Programming, Problem Solving",Computer Science,3.67,German,"Coding Club, Music Club, Volunteer Group, Sports Team, Art Club, Debate Club",Robotics
39,Computer Science,Sports Team,"Programming, Public Speaking, Data Analysis, Problem Solving",Mathematics,3.24,German,"Debate Club, Art Club",Quantum Computing
40,Computer Science,Coding Club,"Data Analysis, Leadership, Programming",Mathematics,2.51,"English, Spanish","Coding Club, Music Club",Machine Learning
41,Computer Science,Music Club,"Programming, Artistic, Public Speaking, Leadership",Psychology,2.42,"English, Chinese, Spanish, French, Japanese, German","Coding Club, Music Club, Art Club, Volunteer Group, Sports Team, Debate Club",Quantum Computing
42,Physics,Art Club,"Data Analysis, Leadership, Programming, Public Speaking, Problem Solving",Mathematics,2.65,German,"Music Club, Debate Club, Volunteer Group",Behavioral Economics
43,History,Sports Team,"Problem Solving, Data Analysis, Public Speaking, Programming, Artistic, Leadership",Mathematics,3.77,"Chinese, Spanish, English","Art Club, Debate Club, Volunteer Group, Sports Team",Astrophysics
44,Computer Science,Volunteer Group,"Data Analysis, Artistic, Leadership, Programming, Problem Solving",Psychology,2.72,"Spanish, Chinese, Japanese","Coding Club, Sports Team",Educational Technology
45,Biology,Sports Team,Problem Solving,History,3.68,"French, English",Coding Club,Climate Change
46,Computer Science,Sports Team,Artistic,Mathematics,3.12,German,Art Club,Urban Planning
47,Biology,Sports Team,"Artistic, Data Analysis, Programming, Problem Solving, Leadership",Biology,2.9,"German, English",Sports Team,Nanotechnology
48,Physics,Music Club,"Artistic, Programming, Problem Solving",History,2.11,"German, Japanese","Sports Team, Art Club",Political Science
49,History,Music Club,"Leadership, Public Speaking, Programming, Data Analysis, Artistic, Problem Solving",Psychology,3.99,"English, German, Chinese, Spanish, Japanese",Music Club,Space Exploration
50,Psychology,Sports Team,"Leadership, Public Speaking",History,2.64,"Spanish, French, Japanese, German","Art Club, Coding Club, Volunteer Group, Music Club, Sports Team",Social Sciences
51,Computer Science,Debate Club,"Data Analysis, Artistic, Leadership, Public Speaking, Problem Solving, Programming",Computer Science,2.17,"Spanish, English, French, Japanese, German, Chinese","Music Club, Debate Club, Sports Team, Volunteer Group",Human-Computer Interaction
52,History,Sports Team,Public Speaking,Mathematics,2.11,"French, English, Chinese, Japanese, German, Spanish","Sports Team, Music Club, Volunteer Group, Debate Club, Coding Club",Cybersecurity
53,Biology,Sports Team,"Public Speaking, Leadership, Programming, Data Analysis",Mathematics,2.26,"Japanese, Chinese","Volunteer Group, Sports Team, Coding Club",Astrophysics
54,Computer Science,Sports Team,"Programming, Public Speaking",Biology,2.13,"French, Japanese, German","Coding Club, Sports Team, Volunteer Group",Educational Technology
55,History,Music Club,"Artistic, Problem Solving, Leadership, Programming, Data Analysis, Public Speaking",Computer Science,3.75,"English, German, Spanish, Japanese","Music Club, Debate Club, Volunteer Group",Bioinformatics
56,History,Music Club,"Leadership, Programming, Artistic, Public Speaking",Mathematics,3.55,"French, German","Art Club, Debate Club, Sports Team, Music Club, Volunteer Group",Human-Computer Interaction
57,Biology,Sports Team,"Problem Solving, Artistic, Programming, Leadership, Public Speaking",Mathematics,2.44,"English, Japanese, Spanish","Sports Team, Music Club, Volunteer Group, Debate Club, Art Club, Coding Club",Nanotechnology
58,Psychology,Volunteer Group,"Artistic, Leadership",History,3.23,"Japanese, Spanish, English, French","Debate Club, Art Club, Coding Club, Volunteer Group, Music Club",Space Exploration
59,Physics,Art Club,"Problem Solving, Leadership, Artistic, Programming, Public Speaking, Data Analysis",Psychology,3.74,"German, Chinese, English",Art Club,Natural Language Processing
60,Psychology,Sports Team,"Leadership, Public Speaking, Programming",Biology,2.42,Japanese,"Music Club, Volunteer Group, Coding Club, Art Club",Social Sciences
61,Computer Science,Sports Team,Data Analysis,Physics,3.62,"French, Chinese, German, English",Coding Club,Machine Learning
62,Biology,Volunteer Group,"Public Speaking, Programming, Leadership, Problem Solving, Artistic, Data Analysis",History,2.83,Spanish,"Debate Club, Coding Club, Art Club, Volunteer Group, Sports Team",Blockchain Technology
63,History,Sports Team,"Leadership, Artistic, Data Analysis",Physics,3.63,"Spanish, German, Chinese, Japanese","Sports Team, Debate Club, Volunteer Group, Music Club, Coding Club",Robotics
64,Computer Science,Debate Club,"Data Analysis, Artistic, Leadership, Programming, Problem Solving, Public Speaking",Computer Science,3.14,"Japanese, French, German, Chinese, English, Spanish","Art Club, Coding Club",Cognitive Psychology
65,Computer Science,Music Club,Programming,Psychology,3.82,"Chinese, Japanese, German, English","Music Club, Volunteer Group, Sports Team, Art Club, Debate Club, Coding Club",Educational Technology
66,History,Debate Club,"Artistic, Problem Solving, Public Speaking, Programming",Psychology,2.91,"Chinese, German","Volunteer Group, Music Club, Art Club, Sports Team, Debate Club, Coding Club",Political Science
67,Psychology,Coding Club,"Programming, Data Analysis",Biology,2.34,"Spanish, English, French, Chinese, German, Japanese","Music Club, Art Club",Machine Learning
68,History,Art Club,Programming,Psychology,3.43,"German, Spanish, French, Japanese, English","Music Club, Sports Team",Behavioral Economics
69,Mathematics,Coding Club,"Problem Solving, Leadership, Public Speaking",Physics,2.53,"Spanish, German, English",Art Club,Bioinformatics
70,Psychology,Music Club,"Programming, Public Speaking, Leadership, Data Analysis, Problem Solving",History,3.31,"German, French, English, Japanese, Spanish, Chinese","Debate Club, Music Club, Coding Club, Art Club, Sports Team",Space Exploration
71,Computer Science,Volunteer Group,"Data Analysis, Programming, Problem Solving, Leadership, Public Speaking",Biology,2.71,"Chinese, Japanese, French, English, Spanish, German","Music Club, Debate Club, Art Club",Machine Learning
72,Physics,Volunteer Group,Programming,Biology,3.56,English,"Sports Team, Debate Club, Volunteer Group",Behavioral Economics
73,Computer Science,Coding Club,"Leadership, Data Analysis, Problem Solving, Programming, Public Speaking",Physics,2.42,"Japanese, French",Volunteer Group,Urban Planning
74,Biology,Volunteer Group,Artistic,Computer Science,3.68,"French, German, Japanese","Volunteer Group, Music Club, Sports Team, Art Club, Coding Club, Debate Club",Biomedical Engineering
75,History,Music Club,"Data Analysis, Problem Solving, Artistic, Programming, Leadership",Psychology,2.88,"French, Japanese","Debate Club, Volunteer Group, Coding Club, Music Club, Sports Team, Art Club",Machine Learning
76,Biology,Debate Club,"Artistic, Programming, Leadership, Data Analysis, Public Speaking, Problem Solving",History,3.9,Chinese,Art Club,Artificial Intelligence
77,Mathematics,Debate Club,"Problem Solving, Programming, Artistic",Physics,2.65,"Spanish, German, French, Japanese, English, Chinese","Debate Club, Music Club, Sports Team",Cognitive Psychology
78,Computer Science,Debate Club,"Leadership, Public Speaking, Data Analysis",Mathematics,3.62,"French, English, Spanish, Chinese, German, Japanese","Art Club, Coding Club, Music Club, Volunteer Group, Sports Team, Debate Club",Quantum Computing
79,Psychology,Volunteer Group,"Artistic, Public Speaking, Data Analysis, Programming, Leadership, Problem Solving",Mathematics,3.16,"German, Chinese","Sports Team, Music Club, Coding Club",Educational Technology
80,Mathematics,Sports Team,Programming,Psychology,2.88,"French, English, Spanish, German","Debate Club, Volunteer Group, Coding Club, Art Club",Quantum Computing
81,Biology,Volunteer Group,"Data Analysis, Programming, Problem Solving",History,2.94,"French, Chinese, English, Japanese","Debate Club, Sports Team, Volunteer Group, Music Club",Educational Technology
82,Psychology,Art Club,"Programming, Data Analysis, Problem Solving, Artistic",Mathematics,3.15,"German, French, Spanish, Chinese","Coding Club, Sports Team, Debate Club, Volunteer Group, Music Club, Art Club",Robotics
83,Physics,Art Club,"Artistic, Leadership, Data Analysis",Computer Science,2.69,"Spanish, Japanese, French","Sports Team, Debate Club, Volunteer Group, Coding Club",Artificial Intelligence
84,Biology,Debate Club,"Leadership, Problem Solving, Programming, Public Speaking",Physics,2.25,English,"Sports Team, Art Club, Volunteer Group, Music Club, Coding Club",Artificial Intelligence
85,Psychology,Coding Club,"Artistic, Programming, Leadership, Public Speaking",Biology,2.14,"Japanese, Chinese","Volunteer Group, Music Club, Coding Club, Debate Club",Urban Planning
86,History,Debate Club,"Artistic, Data Analysis, Public Speaking",History,3.69,"French, English, Chinese, German","Debate Club, Volunteer Group, Music Club",Artificial Intelligence
87,Psychology,Art Club,"Data Analysis, Leadership, Programming, Problem Solving, Public Speaking, Artistic",Mathematics,2.11,"German, Chinese, Spanish","Sports Team, Art Club, Debate Club, Volunteer Group",Social Sciences
88,Biology,Art Club,"Programming, Data Analysis",Computer Science,3,"German, Japanese, French, Spanish, English","Coding Club, Art Club, Sports Team",Human-Computer Interaction
89,History,Art Club,"Artistic, Data Analysis",Mathematics,2.58,"English, French, Chinese","Music Club, Volunteer Group, Debate Club, Sports Team",Data Science
90,Physics,Music Club,"Programming, Leadership, Public Speaking, Artistic, Problem Solving, Data Analysis",Psychology,3.73,"French, Japanese, English, German, Spanish, Chinese","Sports Team, Coding Club",Sustainable Agriculture
91,Psychology,Volunteer Group,"Artistic, Leadership, Programming, Problem Solving",Computer Science,3.27,"Spanish, German, Chinese, English, Japanese",Coding Club,Blockchain Technology
92,Biology,Music Club,"Problem Solving, Leadership, Artistic, Public Speaking, Data Analysis",Physics,3.71,German,"Coding Club, Sports Team, Art Club, Volunteer Group, Music Club",Bioinformatics
93,Physics,Art Club,Data Analysis,Mathematics,2.03,"French, Chinese","Art Club, Music Club, Debate Club, Coding Club, Sports Team, Volunteer Group",Sustainable Agriculture
94,History,Sports Team,Leadership,Computer Science,2.15,"English, Chinese, German, Japanese, French, Spanish",Sports Team,Bioinformatics
95,Psychology,Volunteer Group,"Programming, Leadership, Problem Solving, Data Analysis",Physics,3.04,"German, French, Chinese, Japanese, English",Art Club,Biomedical Engineering
96,Computer Science,Art Club,Data Analysis,History,2.8,"English, Japanese, Chinese","Debate Club, Volunteer Group, Sports Team, Coding Club",Climate Change
97,History,Music Club,"Artistic, Data Analysis",Biology,2.66,"English, French, Japanese, German, Chinese","Art Club, Volunteer Group, Sports Team, Debate Club",Renewable Energy
98,Mathematics,Coding Club,Data Analysis,Biology,2.25,"Chinese, Spanish",Volunteer Group,Quantum Computing
99,History,Debate Club,"Leadership, Programming, Data Analysis, Public Speaking, Artistic, Problem Solving",History,2.94,"Chinese, Spanish, German",Music Club,Renewable Energy
100,Physics,Music Club,"Public Speaking, Leadership, Artistic, Programming, Problem Solving",Psychology,2.67,"Spanish, French, Chinese","Art Club, Volunteer Group, Sports Team, Music Club, Debate Club, Coding Club",Biomedical Engineering
101,Biology,Coding Club,"Data Analysis, Problem Solving, Artistic, Programming, Public Speaking",Biology,3.98,"English, Chinese, French","Sports Team, Art Club, Debate Club, Music Club",Sustainable Agriculture
102,Physics,Music Club,"Leadership, Programming, Data Analysis, Public Speaking",Biology,3.52,"German, French, Japanese","Sports Team, Debate Club, Coding Club",Social Sciences
103,Biology,Debate Club,"Public Speaking, Problem Solving, Programming, Data Analysis",History,3.68,"German, Japanese, English, Chinese, French, Spanish","Sports Team, Debate Club, Volunteer Group",Renewable Energy
104,Psychology,Debate Club,"Leadership, Programming, Data Analysis, Problem Solving, Public Speaking",Mathematics,3.57,"French, Japanese, Spanish, German, English, Chinese","Art Club, Debate Club",Nanotechnology
105,History,Coding Club,"Leadership, Artistic, Programming, Data Analysis",Biology,3.87,"Japanese, English, Spanish, Chinese, French, German","Sports Team, Music Club",Educational Technology
106,Biology,Volunteer Group,"Data Analysis, Programming, Public Speaking, Artistic, Problem Solving, Leadership",Psychology,2.17,"English, German, Chinese","Art Club, Debate Club, Coding Club, Music Club, Volunteer Group",Robotics
107,Computer Science,Coding Club,"Leadership, Artistic, Problem Solving, Public Speaking",Biology,2.64,"French, Spanish, Chinese, German","Volunteer Group, Art Club, Coding Club, Sports Team, Debate Club",Climate Change
108,Computer Science,Music Club,"Programming, Data Analysis, Public Speaking, Problem Solving, Artistic",Psychology,3.69,"Spanish, English, French, Chinese","Volunteer Group, Art Club, Music Club, Sports Team, Coding Club, Debate Club",Environmental Sustainability
109,Mathematics,Volunteer Group,"Data Analysis, Public Speaking, Problem Solving, Artistic",Physics,3.78,"Japanese, German, French, English, Chinese","Art Club, Coding Club, Volunteer Group, Music Club",Quantum Computing
110,Psychology,Debate Club,"Programming, Leadership",Physics,2.97,"Spanish, English, Chinese","Music Club, Sports Team",Human-Computer Interaction
111,Psychology,Music Club,"Public Speaking, Artistic, Leadership",Computer Science,3.64,"Spanish, German, Japanese","Debate Club, Music Club, Art Club",Educational Technology
112,Physics,Debate Club,Artistic,Physics,2.98,Japanese,"Sports Team, Debate Club, Volunteer Group, Art Club, Coding Club, Music Club",Cybersecurity
113,Psychology,Volunteer Group,"Data Analysis, Programming",History,3.56,Spanish,Coding Club,Urban Planning
114,Biology,Debate Club,"Programming, Artistic, Data Analysis",Mathematics,3.69,"Spanish, Chinese, English","Art Club, Debate Club, Coding Club, Music Club",Environmental Sustainability
115,Biology,Coding Club,Problem Solving,Mathematics,2.69,"German, Japanese",Volunteer Group,Political Science
116,Mathematics,Coding Club,"Programming, Problem Solving, Data Analysis, Leadership, Public Speaking",History,2.57,"English, Spanish","Art Club, Volunteer Group, Coding Club",Healthcare Management
117,Psychology,Sports Team,"Data Analysis, Leadership, Artistic, Problem Solving, Programming, Public Speaking",Physics,2.31,"German, English, Japanese, Spanish, French, Chinese",Volunteer Group,Space Exploration
118,Computer Science,Volunteer Group,"Public Speaking, Problem Solving, Leadership",Biology,2.43,"Chinese, Spanish, Japanese","Coding Club, Debate Club",Renewable Energy
119,Mathematics,Sports Team,Artistic,Computer Science,2.34,"Japanese, Spanish, Chinese, English","Debate Club, Coding Club, Art Club, Volunteer Group, Sports Team, Music Club",Educational Technology
120,Computer Science,Volunteer Group,"Problem Solving, Programming, Public Speaking, Artistic",Mathematics,2.75,"German, English, Japanese","Volunteer Group, Sports Team, Coding Club, Art Club, Music Club, Debate Club",Climate Change
121,Mathematics,Art Club,"Data Analysis, Programming, Public Speaking, Leadership, Problem Solving, Artistic",History,2.37,"Chinese, English, German, Japanese, Spanish","Debate Club, Sports Team, Music Club, Volunteer Group, Coding Club",Climate Change
122,Physics,Debate Club,"Programming, Leadership",Physics,2.12,"Spanish, English, German","Debate Club, Sports Team, Music Club, Art Club, Coding Club, Volunteer Group",Biomedical Engineering
123,History,Debate Club,"Public Speaking, Programming",Computer Science,2.17,"English, Spanish, Chinese, French, German, Japanese","Art Club, Debate Club",Astrophysics
124,History,Debate Club,"Public Speaking, Data Analysis, Leadership, Problem Solving",Biology,3.56,"Chinese, German","Music Club, Debate Club, Sports Team, Art Club, Volunteer Group",Sustainable Agriculture
125,History,Music Club,"Public Speaking, Programming, Artistic, Data Analysis, Problem Solving",Computer Science,2.47,"Japanese, French","Debate Club, Music Club, Art Club, Coding Club, Volunteer Group",Data Science
126,History,Volunteer Group,"Artistic, Problem Solving",Biology,3.5,"German, English, Spanish, French, Chinese","Debate Club, Volunteer Group",Robotics
127,Biology,Volunteer Group,"Artistic, Leadership",Biology,3.79,"Spanish, French, Japanese, German","Art Club, Music Club, Debate Club",Blockchain Technology
128,Physics,Debate Club,"Programming, Problem Solving",History,3.02,"German, Spanish, English, Japanese","Coding Club, Art Club, Music Club, Debate Club, Volunteer Group",Nanotechnology
129,Biology,Debate Club,Public Speaking,Computer Science,3.75,"French, Chinese, Spanish","Coding Club, Sports Team, Debate Club, Music Club",Human-Computer Interaction
130,Biology,Art Club,"Problem Solving, Artistic, Public Speaking, Data Analysis, Leadership, Programming",Physics,3.53,"German, English, French",Volunteer Group,Space Exploration
131,Biology,Music Club,"Public Speaking, Programming, Problem Solving, Artistic",Psychology,2.66,"French, Spanish","Volunteer Group, Sports Team, Debate Club, Music Club, Coding Club",Data Science
132,Psychology,Sports Team,"Data Analysis, Artistic",Computer Science,2.22,Chinese,"Volunteer Group, Art Club, Debate Club, Music Club, Sports Team, Coding Club",Nanotechnology
133,History,Debate Club,"Leadership, Problem Solving, Artistic, Public Speaking",History,2.38,"Chinese, Spanish, German, English, Japanese",Volunteer Group,Educational Technology
134,Mathematics,Volunteer Group,"Public Speaking, Problem Solving, Artistic, Programming",Mathematics,3.13,"Spanish, Chinese, French, English, Japanese","Music Club, Art Club, Volunteer Group, Debate Club, Coding Club, Sports Team",Social Sciences
135,Psychology,Music Club,"Problem Solving, Leadership, Artistic, Data Analysis, Public Speaking, Programming",Physics,3.35,"French, German, Spanish, Japanese, English, Chinese","Music Club, Volunteer Group, Debate Club, Sports Team",Nanotechnology
136,Biology,Debate Club,"Public Speaking, Artistic, Leadership",Physics,2.33,"Japanese, Chinese, French, English","Art Club, Music Club",Data Science
137,Biology,Volunteer Group,Data Analysis,Computer Science,2.99,"German, English, Japanese, Spanish, Chinese","Art Club, Sports Team",Educational Technology
138,Biology,Sports Team,"Leadership, Problem Solving",Biology,2.51,"English, French, German, Chinese, Spanish","Debate Club, Sports Team, Coding Club, Art Club, Music Club",Nanotechnology
139,History,Volunteer Group,"Leadership, Public Speaking, Data Analysis, Problem Solving, Programming, Artistic",Computer Science,3.04,Chinese,"Debate Club, Music Club, Volunteer Group, Sports Team",Robotics
140,Mathematics,Debate Club,"Programming, Data Analysis, Problem Solving, Leadership, Public Speaking, Artistic",History,2.91,"English, Chinese, Spanish, German","Debate Club, Art Club, Sports Team",Astrophysics
141,Physics,Coding Club,"Programming, Public Speaking, Artistic, Leadership, Data Analysis, Problem Solving",Physics,2.65,"German, Chinese, English, Japanese","Sports Team, Art Club, Debate Club, Coding Club",Robotics
142,Computer Science,Art Club,"Leadership, Artistic",Psychology,2.47,"English, French, German","Debate Club, Art Club, Volunteer Group, Music Club",Climate Change
143,Computer Science,Art Club,"Artistic, Problem Solving, Data Analysis, Programming",Psychology,2.82,"Japanese, German, English, Chinese, Spanish",Sports Team,Sustainable Agriculture
144,Biology,Art Club,"Artistic, Problem Solving, Leadership, Data Analysis, Programming, Public Speaking",Biology,3.26,"French, English, Spanish","Sports Team, Music Club, Debate Club, Coding Club",Cognitive Psychology
145,Psychology,Art Club,"Programming, Artistic, Leadership, Data Analysis",Physics,3.08,"English, Spanish, German","Music Club, Art Club, Volunteer Group",Nanotechnology
146,Biology,Sports Team,"Data Analysis, Leadership, Programming, Artistic",Computer Science,2.82,Chinese,"Music Club, Volunteer Group, Coding Club, Art Club, Sports Team, Debate Club",Astrophysics
147,History,Sports Team,Leadership,Computer Science,3.97,"Spanish, English, German, Chinese, French","Coding Club, Music Club",Cognitive Psychology
148,Physics,Music Club,"Public Speaking, Problem Solving, Programming, Artistic, Data Analysis",Mathematics,3.61,"Japanese, Spanish, German, French","Debate Club, Music Club",Machine Learning
149,Physics,Sports Team,"Public Speaking, Data Analysis",Mathematics,2.07,"Chinese, German, French, Spanish, English","Music Club, Volunteer Group, Coding Club, Art Club, Sports Team",Cognitive Psychology
150,Biology,Coding Club,Data Analysis,Mathematics,2.93,Japanese,"Sports Team, Coding Club, Debate Club, Art Club",Political Science
151,Biology,Volunteer Group,"Artistic, Problem Solving, Public Speaking, Leadership, Programming",Psychology,3.71,"English, Spanish, German","Sports Team, Music Club, Volunteer Group, Art Club, Debate Club, Coding Club",Urban Planning
152,Computer Science,Coding Club,"Data Analysis, Programming, Public Speaking, Problem Solving",Computer Science,2.57,"German, English, Japanese, Chinese, French, Spanish","Debate Club, Music Club, Art Club, Sports Team, Volunteer Group",Space Exploration
153,History,Sports Team,"Artistic, Problem Solving, Data Analysis, Programming, Leadership, Public Speaking",Psychology,2.78,Chinese,"Debate Club, Art Club, Sports Team, Volunteer Group, Music Club, Coding Club",Sustainable Agriculture
154,Physics,Art Club,"Public Speaking, Data Analysis",Physics,2.63,"French, English, Japanese","Volunteer Group, Debate Club",Space Exploration
155,Computer Science,Coding Club,Public Speaking,Biology,2.7,Japanese,"Sports Team, Coding Club",Space Exploration
156,Biology,Debate Club,"Leadership, Programming",History,2.98,"Japanese, English, French, Chinese, Spanish","Debate Club, Volunteer Group, Sports Team",Environmental Sustainability
157,Physics,Art Club,"Programming, Public Speaking, Problem Solving, Leadership, Artistic, Data Analysis",Physics,3.59,"Spanish, German, English, Japanese, French","Music Club, Debate Club",Behavioral Economics
158,Psychology,Volunteer Group,"Leadership, Artistic",Mathematics,3.68,"Chinese, Japanese, English, Spanish, French","Art Club, Debate Club, Volunteer Group",Data Science
159,Psychology,Sports Team,"Public Speaking, Artistic, Leadership, Data Analysis",Biology,3.86,"German, Spanish, English, French, Chinese","Art Club, Volunteer Group, Music Club, Sports Team, Coding Club, Debate Club",Human-Computer Interaction
160,History,Sports Team,"Artistic, Data Analysis, Programming, Problem Solving",Physics,3.34,"French, Japanese, English, German, Chinese","Coding Club, Art Club, Sports Team, Volunteer Group, Debate Club",Healthcare Management
161,Psychology,Sports Team,"Public Speaking, Leadership, Programming",Mathematics,3.53,"French, English, Japanese",Volunteer Group,Political Science
162,Computer Science,Volunteer Group,"Artistic, Problem Solving, Programming, Data Analysis",Biology,2.04,"Spanish, Japanese","Volunteer Group, Coding Club, Art Club, Sports Team, Debate Club, Music Club",Quantum Computing
163,Psychology,Volunteer Group,"Public Speaking, Leadership, Artistic, Programming",Mathematics,3.6,"Chinese, Japanese, German, English, Spanish, French","Sports Team, Art Club",Healthcare Management
164,Physics,Art Club,Artistic,History,3.38,"Chinese, German","Sports Team, Debate Club, Music Club",Astrophysics
